Año Contab;Mes Contab;Dia Contab;F. Contab;Año Emisión;Mes Emisión;Dia Emisión;F. Emisión;Comp;Prov - Cód;Prov - Ord 1;Artículo - Cód Gen;Desc;Artículo - Clase - Cód;Artículo - Ord 1 - Cód;Artículo - Ord 1;Artículo - Ord 2 - Cód;Artículo - Ord 2;Cant UM 1;Precio unitario;Impte. Neto mon. Local
2020;6;1;01/6/2020;2019;6;14;14/06/2019;FC A 00002-00004490;463;PROV ACCESORIOS;999032050002;"TOR-Ø.1/2""x5"" - CAB HEX 12h G5 zincado";200;BA20;BULONES;WA10;ACCESORIOS;300;13,97;4191,00
2020;6;1;01/06/2020;2019;6;14;14/06/2019;FC A 00002-00004490;463;PROV ACCESORIOS;999032060000;"TOR-Ø.1/2""x 5 1/2"" - CAB HEX 12h G5 Zincado";200;BA20;BULONES;WA10;ACCESORIOS;100;15,69;1568,60
2020;2;1;01/02/2020;2019;7;5;05/07/2019;FC A 00002-00065382;1587;PROV  VARIOS;9990201;"TUERCA Ø.3/8""-8,26x14,2-USS NC-16H";200;BA30;TUERCAS;WA10;ACCESORIOS;5000;0,35;1732,06
2020;2;1;01/02/2020;2019;7;5;05/07/2019;FC A 00002-00065382;1587;PROV  VARIOS;9990218;TUERCA Ø.14 x 1,50H AUTOF. C8,8;200;BA30;TUERCAS;WA10;ACCESORIOS;1500;2,06;3090,25
2020;2;1;01/02/2020;2019;7;5;05/07/2019;FC A 00002-00065382;1587;PROV  VARIOS;9990622500;"REMACHE - Ø. 1/2"" x 25 - (24 Uni x Kg)";200;BA50;REMACHES;WA10;ACCESORIOS;2400;2,96;7108,59
2020;2;1;01/02/2020;2019;7;5;05/07/2019;FC A 00002-00065382;1587;PROV  VARIOS;9990222;TUERCA Ø. 12 x 1.25H AUTOF.;200;BA30;TUERCAS;WA10;ACCESORIOS;2500;1,55;3885,42
2020;3;1;01/03/2020;2019;12;11;11/12/2019;FC A 00002-00004306;747;PROV ACCESORIOS;77040022;Refrigerante bidon x 5 litros;400;XE40;ELEM-FERRETERIA;XA10;INSUMOS NO PRODUCTIVOS;5;198,00;990,00
2020;3;1;01/03/2020;2019;12;11;11/12/2019;FC A 00002-00004306;747;PROV ACCESORIOS;77070006;Desodorante;380;XC00;LIMPIEZA;XA10;INSUMOS NO PRODUCTIVOS;5;220,00;1100,00
2020;1;1;01/01/2020;2019;12;12;12/12/2019;FC A 00002-00010394;1139;PROV  VARIOS;77035007;ZAPATOS SEGURIDAD;320;XA70;UNIFORMES;XA10;INSUMOS NO PRODUCTIVOS;2;756,80;1513,60
2020;1;1;01/01/2020;2019;12;12;12/12/2019;FC A 00002-00010394;1139;PROV  VARIOS;77100013;CALIBRE 150 mm LECT.0.02mm ACERO inox;410;XE50;INSTRUM.MEDICION;XD50;CALIBRES;6;374,00;2244,00
2020;1;1;01/01/2020;2019;12;12;12/12/2019;FC A 00002-00010394;1139;PROV  VARIOS;77030005;ANTEOJOS INCOLOROS ANTIRAYA;320;XA60;PROTECTORES;XA10;INSUMOS NO PRODUCTIVOS;10;33,00;330,00
2020;1;1;01/01/2020;2019;12;12;12/12/2019;FC A 00002-00010394;1139;PROV  VARIOS;77030032;ANTEOJOS NEGROS ANTIRAYA;320;XA60;PROTECTORES;XA10;INSUMOS NO PRODUCTIVOS;10;33,00;330,00
2020;1;1;01/01/2020;2019;12;13;13/12/2019;FC A 00002-00010406;1139;PROV  VARIOS;77140018;"TUBO HEX. 5/8"" - ENCASTRE 1/2""";410;XC40;HTA.AJUSTE;XC50;HTAS APRIETE;1;48,40;48,40
2020;1;1;01/01/2020;2019;12;13;13/12/2019;FC A 00002-00010406;1139;PROV  VARIOS;77030029;BARBIJO DOBLE A;320;XA60;PROTECTORES;XA10;INSUMOS NO PRODUCTIVOS;6;46,77;280,63
2020;1;1;01/01/2020;2019;12;13;13/12/2019;FC A 00002-00010406;1139;PROV  VARIOS;77100010;HOJA DE SIERRA 300X25X1.25 Z10 SIN PAR;410;XC30;HTA.CORTE;XA25;HOJAS DE SIERRA;20;220,44;4408,80
2020;1;1;01/01/2020;2019;12;16;16/12/2019;FC A 00026-00001800;2942;PROV ACCESORIOS;77200327;B0-LADS2-TEMP. AL TRABAJO 1-30 SCHNEIDER;430;XB80;MAT-ELECTR.;XD80;CONTACTORES/INTERRUPTORES;2;2240,19;4480,38
2020;1;1;01/01/2020;2019;12;16;16/12/2019;FC A 00026-00001801;2942;PROV ACCESORIOS;77200110;"Conector para caja multiple para caño 3/4"" DAISA";430;XB80;MAT-ELECTR.;XB70;INSTALACIONES ELECTRICAS;1;58,63;58,63
2020;1;1;01/01/2020;2019;12;20;20/12/2019;FC A 00002-00001149;2262;PROV ACCESORIOS;77070002;TRAPOS;380;XC00;LIMPIEZA;XA10;INSUMOS NO PRODUCTIVOS;100;55,00;5500,00
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00002-00004353;747;PROV ACCESORIOS;77070003;Papel Higenico;380;XC00;LIMPIEZA;XA10;INSUMOS NO PRODUCTIVOS;4;310,20;1240,80
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00003-00002662;2961;PROV ACCESORIOS;77210067;Rodamiento 6209 2RS SKF;440;XB90;RODAMIENTOS;XA70;RODAMIENTOS;2;381,82;763,64
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00003-00002662;2961;PROV ACCESORIOS;77160111;RETEN 8777 (20x34x7);440;XD30;SELLOS / RETENES;XC20;SELLOS / RETENES;1;45,46;45,46
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00011-00013827;2021;PROV  VARIOS;77210018;Rodamiento 6309 ZZ NSK/NTN;440;XB90;RODAMIENTOS;XA70;RODAMIENTOS;2;594,00;1188,00
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00002-00004353;747;PROV ACCESORIOS;77070005;Papel Industrial;380;XC00;LIMPIEZA;XA10;INSUMOS NO PRODUCTIVOS;3;484,00;1452,00
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00002-00004353;747;PROV ACCESORIOS;77070006;Desodorante;380;XC00;LIMPIEZA;XA10;INSUMOS NO PRODUCTIVOS;6;220,00;1320,00
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00002-00001298;3001;PROV ACCESORIOS;77040002;"PALOS 3"" x 2"" x 0.80 Cm c/ranura";340;XA80;EMBALAJES;XA10;INSUMOS NO PRODUCTIVOS;196;19,80;3880,80
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00002-00001299;3001;PROV ACCESORIOS;77040002;"PALOS 3"" x 2"" x 0.80 Cm c/ranura";340;XA80;EMBALAJES;XA10;INSUMOS NO PRODUCTIVOS;236;19,80;4672,80
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00002-00004353;747;PROV ACCESORIOS;77070021;Desengrasante piso;380;XC00;LIMPIEZA;XA10;INSUMOS NO PRODUCTIVOS;5;550,00;2750,00
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00002-00004353;747;PROV ACCESORIOS;77070008;Limpiador Clorado;380;XC00;LIMPIEZA;XA10;INSUMOS NO PRODUCTIVOS;3;96,80;290,40
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00002-00004353;747;PROV ACCESORIOS;77070011;Detergente;380;XC00;LIMPIEZA;XA00;INSUMOS PRODUCTIVOS;5;242,00;1210,00
2020;1;2;02/01/2020;2020;1;2;02/01/2020;FC A 00002-00004353;747;PROV ACCESORIOS;77070012;Toalla Rollo;380;XC00;LIMPIEZA;XA00;INSUMOS PRODUCTIVOS;3;484,00;1452,00
2020;1;3;03/01/2020;2020;1;3;03/01/2020;FC C 00002-00000753;2916;PROV  VARIOS;77160111;RETEN 8777 (20x34x7);440;XD30;SELLOS / RETENES;XC20;SELLOS / RETENES;4;77,00;308,00
2020;1;3;03/01/2020;2020;1;3;03/01/2020;FC C 00002-00000753;2916;PROV  VARIOS;77210109;Cadena de 5/8;440;XE20;EQUIPAM.HORNO;XD20;ELEM-FERRETERIA;3;1364,00;4092,00
2020;1;3;03/01/2020;2020;1;3;03/01/2020;LSP A 00400-00278176;425;PROV  VARIOS;77060001;GAS FABRICA IVA 27%;330;XB20;GAS;XA00;INSUMOS PRODUCTIVOS;29241;1,35;39465,84
